file_name,ids,labels,xmin,ymin,xmax,ymax,captions
img_01_4406743300_00836.jpg,silk_spot,263,995,71,1310,894,The defect silk_spot is located at the center of the image.
img_01_424995500_00255.jpg,water_spot,261,1169,317,1577,809,The defect water_spot is located at the right bottom of the image.
img_01_425005700_00317.jpg,silk_spot,263,739,47,1392,914,The defect silk_spot is located at the center of the image.
img_02_425507000_00872.jpg,oil_spot,262,1950,50,2022,112,The defect oil_spot is located at the right top of the image.
img_02_425507000_00872.jpg,oil_spot,262,1932,476,2035,534,The defect oil_spot is located at the right of the image.
img_02_425507000_00872.jpg,oil_spot,262,1945,894,2047,962,The defect oil_spot is located at the right bottom of the image.
img_01_SIS001577_00012.jpg,silk_spot,263,1087,155,1417,596,The defect silk_spot is located at the top of the image.
img_01_425005700_00253.jpg,silk_spot,263,818,25,1207,929,The defect silk_spot is located at the center of the image.
img_03_3403401700_00908.jpg,punching_hole,258,92,365,194,424,The defect punching_hole is located at the left of the image.
img_03_3403401700_00908.jpg,welding_line,259,7,200,2043,259,The defect welding_line is located at the top of the image.
img_02_425383400_00358.jpg,inclusion,264,715,434,776,501,The defect inclusion is located at the center of the image.
img_06_4404580600_01173.jpg,silk_spot,263,767,63,1315,378,The defect silk_spot is located at the top of the image.
img_06_4404580600_01173.jpg,silk_spot,263,972,416,1764,816,The defect silk_spot is located at the right bottom of the image.
img_06_4404580600_01173.jpg,silk_spot,263,1399,40,2048,326,The defect silk_spot is located at the right top of the image.
img_07_4406645900_00676.jpg,silk_spot,263,1781,90,1918,659,The defect silk_spot is located at the right top of the image.
img_01_425005700_00487.jpg,silk_spot,263,815,53,1308,921,The defect silk_spot is located at the center of the image.
img_07_425100400_00094.jpg,oil_spot,262,843,470,1000,583,The defect oil_spot is located at the center of the image.
img_01_4402270500_00003.jpg,crease,266,491,262,2029,347,The defect crease is located at the center of the image.
img_01_4402270500_00003.jpg,crease,266,788,608,1083,667,The defect crease is located at the center of the image.
img_01_4402270500_00003.jpg,crease,266,489,603,637,643,The defect crease is located at the left of the image.
img_01_4402270500_00003.jpg,crease,266,642,547,845,582,The defect crease is located at the center of the image.
img_01_4402270500_00003.jpg,crease,266,942,693,1042,827,The defect crease is located at the bottom of the image.
img_01_4402270500_00003.jpg,crease,266,961,159,1010,213,The defect crease is located at the top of the image.
img_02_425390000_00017.jpg,welding_line,259,310,637,2048,694,The defect welding_line is located at the center of the image.
img_02_425390000_00017.jpg,crescent_gap,260,132,376,348,936,The defect crescent_gap is located at the left bottom of the image.
img_02_425390000_00017.jpg,punching_hole,258,2002,806,2048,855,The defect punching_hole is located at the right bottom of the image.
img_04_436163100_00009.jpg,oil_spot,262,577,343,733,470,The defect oil_spot is located at the center of the image.
img_04_436163100_00009.jpg,oil_spot,262,568,614,747,711,The defect oil_spot is located at the center of the image.
img_04_436163100_00009.jpg,oil_spot,262,571,752,653,991,The defect oil_spot is located at the bottom of the image.
img_07_4406645900_00805.jpg,silk_spot,263,1716,88,1918,636,The defect silk_spot is located at the right top of the image.
img_01_SIS001577_00032.jpg,silk_spot,263,1044,35,2017,986,The defect silk_spot is located at the right of the image.
img_08_425503100_00053.jpg,crescent_gap,260,887,495,1183,996,The defect crescent_gap is located at the bottom of the image.
img_08_425503100_00053.jpg,welding_line,259,5,780,1015,868,The defect welding_line is located at the left bottom of the image.
img_06_3436814000_00683.jpg,waist_folding,267,88,119,2048,532,The defect waist_folding is located at the top of the image.
img_06_3436814000_00683.jpg,waist_folding,267,751,705,1648,992,The defect waist_folding is located at the right bottom of the image.
img_03_SIS001540_00772.jpg,water_spot,261,271,21,562,986,The defect water_spot is located at the left of the image.
img_06_425614600_00424.jpg,waist_folding,267,1105,44,1796,1000,The defect waist_folding defect is located at the right of the image.
img_01_425005700_00266.jpg,silk_spot,263,807,93,1326,862,The defect silk_spot is located at the center of the image.
img_04_SIS001577_00040.jpg,silk_spot,263,516,43,1004,315,The defect silk_spot is located at the top of the image.
img_04_SIS001577_00040.jpg,silk_spot,263,149,93,569,286,The defect silk_spot is located at the left top of the image.
img_04_SIS001577_00040.jpg,silk_spot,263,121,275,821,587,The defect silk_spot is located at the left of the image.
img_04_SIS001577_00040.jpg,silk_spot,263,67,527,930,950,The defect silk_spot is located at the left bottom of the image.
img_03_SIS001540_00785.jpg,water_spot,261,269,25,584,965,The defect water_spot is located at the left of the image.
img_04_436163100_00033.jpg,oil_spot,262,622,650,729,745,The defect oil_spot is located at the center of the image.
img_04_436163100_00033.jpg,silk_spot,263,3,49,595,807,The defect silk_spot is located at the left of the image.
img_04_425501800_00018.jpg,crescent_gap,260,1351,724,1663,1000,The defect crescent_gap is located at the right bottom of the image.
img_08_425508100_01404.jpg,inclusion,264,411,133,464,195,The defect inclusion is located at the left top of the image.
img_06_425506300_01028.jpg,inclusion,264,1507,1,1772,648,The defect inclusion is located at the right top of the image.
img_01_425005700_00471.jpg,silk_spot,263,792,14,1230,698,The defect silk_spot is located at the top of the image.
img_03_425383400_00420.jpg,inclusion,264,600,655,713,730,The defect inclusion is located at the center of the image.
img_01_432220200_00001.jpg,welding_line,259,1584,624,2048,683,The defect welding_line is located at the right of the image.
img_02_436153600_00696.jpg,silk_spot,263,592,4,1441,824,The defect silk_spot is located at the center of the image.
img_01_425243300_00467.jpg,silk_spot,263,1248,162,1787,930,The defect silk_spot is located at the right of the image.
img_06_425237000_00658.jpg,inclusion,264,825,42,951,981,The defect inclusion is located at the center of the image.
img_01_425391600_00018.jpg,welding_line,259,831,438,2037,487,The defect welding_line is located at the right of the image.
