file_name,ids,labels,xmin,ymin,xmax,ymax,captions
patches_52.jpg,patches_52,262,47,12,138,184,The defect is patches and is located at the left of the image.
inclusion_276.jpg,inclusion_276,263,85,3,134,197,The defect is inclusion and is located at the center of the image.
inclusion_276.jpg,inclusion_276,263,84,1,109,85,The defect is inclusion and is located at the top of the image.
inclusion_236.jpg,inclusion_236,263,14,12,72,92,The defect is inclusion and is located at the left top of the image.
rolled-in_scale_207.jpg,rolled-in_scale_207,260,22,118,94,200,The defect is rolled-in_scale and is located at the left bottom of the image.
rolled-in_scale_207.jpg,rolled-in_scale_207,260,39,1,85,40,The defect is rolled-in_scale and is located at the left top of the image.
pitted_surface_285.jpg,pitted_surface_285,261,19,21,150,191,The defect is pitted_surface and is located at the center of the image.
inclusion_201.jpg,inclusion_201,263,52,1,105,198,The defect is inclusion and is located at the center of the image.
inclusion_201.jpg,inclusion_201,263,117,94,139,168,The defect is inclusion and is located at the bottom of the image.
inclusion_262.jpg,inclusion_262,263,1,3,44,197,The defect is inclusion and is located at the left of the image.
inclusion_262.jpg,inclusion_262,263,118,12,151,199,The defect is inclusion and is located at the right of the image.
inclusion_262.jpg,inclusion_262,263,26,107,56,162,The defect is inclusion and is located at the left bottom of the image.
rolled-in_scale_96.jpg,rolled-in_scale_96,260,66,14,183,61,The defect is rolled-in_scale and is located at the right top of the image.
rolled-in_scale_96.jpg,rolled-in_scale_96,260,45,107,107,200,The defect is rolled-in_scale and is located at the left bottom of the image.
rolled-in_scale_36.jpg,rolled-in_scale_36,260,92,9,140,56,The defect is rolled-in_scale and is located at the top of the image.
rolled-in_scale_36.jpg,rolled-in_scale_36,260,84,163,154,199,The defect is rolled-in_scale and is located at the right bottom of the image.
rolled-in_scale_36.jpg,rolled-in_scale_36,260,76,69,136,134,The defect is rolled-in_scale and is located at the center of the image.
rolled-in_scale_36.jpg,rolled-in_scale_36,260,65,30,124,91,The defect is rolled-in_scale and is located at the top of the image.
inclusion_254.jpg,inclusion_254,263,63,1,88,165,The defect is inclusion and is located at the center of the image.
inclusion_254.jpg,inclusion_254,263,68,142,101,198,The defect is inclusion and is located at the bottom of the image.
crazing_226.jpg,crazing_226,258,2,143,172,196,The defect is crazing and is located at the bottom of the image.
crazing_226.jpg,crazing_226,258,1,19,174,145,The defect is crazing and is located at the top of the image.
inclusion_300.jpg,inclusion_300,263,142,50,166,119,The defect is inclusion and is located at the right of the image.
